Caseno/ Bail Ref no,BailStatus,HORef,StatusOfBail,DecisionDate,Final Bail Outcome,Destruction Date(if any),Last Comment,,,,,,,,,"SELECT t.caseno, t.amount, ac.Bailtype,Year(ac.DateReceived) as BailYear, max(s.CaseStatus) as BailStatus,max(s.CaseStatus)MAXID, max(h.comment) as Comment"
GL/0053/98,,,,,,Mar-23,,,,,,,,,,
GW/00227,,,,,,Mar-23,,,,,,,,,,
GL/00105,,,,,,Mar-23,,,,,,,,,,
GW/00170,,,,,,Mar-23,,,,,,,,,,
GW/00715,,,,,,Mar-23,,,,,,,,,,
GW/00295,,,,,,Mar-23,,,,,,,,,,
GL/00221,,,,,,Mar-23,,,,,,,,,,
GL/00262,,,,,,Mar-23,,,,,,,,,,
GW/00709,,,,,,Apr-23,,,,,,,,,,
GW/00233,,,,,,Apr-23,,,,,,,,,,
GW/00134,,,,,,Apr-23,,,,,,,,,,
BH/00548,,,,,,May-23,,,,,,,,,,
BLF/009/98,,,,,,May-23,,,,,,,,,,
GW/00572,,,,,,May-23,,,,,,,,,,
GW/00762,,,,,,May-23,,,,,,,,,,
GW/00813,,,,,,May-23,,,,,,,,,,
GW/00825,,,,,,May-23,,,,,,,,,,
GW/00458,,,,,,May-23,,,,,,,,,,
GW/00835,,,,,,May-23,,,,,,,,,,
GW/00806,,,,,,May-23,,,,,,,,,,
GW/00795,,,,,,May-23,,,,,,,,,,
GW/00698,,,,,,Jun-23,,,,,,,,,,
GW/00587,,,,,,Jun-23,,,,,,,,,,
GW/00218,,,,,,Jun-23,,,,,,,,,,
BE/00019,,,,,,Jun-23,,,,,,,,,,
GW/00784,,,,,,Jun-23,,,,,,,,,,
GW/00840,,,,,,Jun-23,,,,,,,,,,
GW/00423,,,,,,Jun-23,,,,,,,,,,
GW/00773,,,,,,Jun-23,,,,,,,,,,
GL/00076,,,,,,Jun-23,,,,,,,,,,
GL/00233,,,,,,Jun-23,,,,,,,,,,
GW/00774,,,,,,Jun-23,,,,,,,,,,
GW/00389,,,,,,Jun-23,,,,,,,,,,
GW/07396,,,,,,Jun-23,,,,,,,,,,
GW/00790,,,,,,Jul-23,,,,,,,,,,
GW/00320,,,,,,Jul-23,,,,,,,,,,
GW/00858,,,,,,Jul-23,,,,,,,,,,
GW/00257,,,,,,Jul-23,,,,,,,,,,
GW/00844,,,,,,Jul-23,,,,,,,,,,
GW/00503,,,,,,Jul-23,,,,,,,,,,
GW/00717,,,,,,Jul-23,,,,,,,,,,
GL/00236,,,,,,Jul-23,,,,,,,,,,
GW/00873,,,,,,Jul-23,,,,,,,,,,
GW/00862,,,,,,Jul-23,,,,,,,,,,
GP/00372,,,,,,Jul-23,,,,,,,,,,
GW/00523,,,,,,Aug-23,,,,,,,,,,
